Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 334| Score: 0.3672 | Improved by Teacher| Two zebra stand next to a herd of antelope.
Image 335| Score: 0.7658 | Kept from Student| Scantily clad couple in kitchen with pan of cookies.
Image 336| Score: -1.0629 | Improved by Teacher| Two cows sitting in the grass under a tree.
Image 337| Score: 0.9941 | Kept from Student| A close-up of headphones next to a keyboard on a desk.
Image 338| Score: 0.8948 | Kept from Student| A motorcycle is parked in a parking garage. 
Image 339| Score: 0.7680 | Kept from Student| A red-crested wood-pecker on a lichen covered tree.
Image 340| Score: 0.6140 | Improved by Teacher| A surfboard rider rides a small sized wave.
Image 341| Score: -0.7191 | Improved by Teacher| A white paper scibbled with blue ink near a computer keyboard.
Image 342| Score: 0.1313 | Improved by Teacher| Couple walking past outdoor display racks of assorted clothing.
Image 343| Score: -0.1111 | Improved by Teacher| A play of food next to a bowl of rice and chopsticks. 
Image 344| Score: -0.4119 | Improved by Teacher| a plate of vegetables sits next to a trey of pizza 
Image 345| Score: 1.5885 | Kept from Student| A table with a lamp next to apples sitting on top of each other.
Image 346| Score: 0.5420 | Improved by Teacher| A few cows grazing in an open field.
Image 347| Score: -0.0226 | Improved by Teacher| A photo of fruit is partially in color and partially in black and white.
Image 348| Score: 0.1928 | Improved by Teacher| A woman exercising a brown horse in a riding ring.
Image 349| Score: 0.3976 | Improved by Teacher| A cat sticking it's head out of a window behind flowers in a planter.
Image 350| Score: 0.1063 | Improved by Teacher| A living room decorated for Halloween with a large window with closed blinds.
Image 351| Score: 0.3395 | Improved by Teacher| Professional motorcycle racer in extreme lean on a race course.
Image 352| Score: 0.3292 | Improved by Teacher| A surf board rider being pushes by ocean waves.
Image 353| Score: 0.3735 | Improved by Teacher| A person riding a large wave in the ocean on a surfboard.
Image 354| Score: 1.6835 | Kept from Student| A grey bird in the middle of a snow-covered ground
Image 355| Score: 1.1496 | Kept from Student| A cat that is by a bicycle wheel.
Image 356| Score: 1.7567 | Kept from Student| a brown and white dog a fence and a tree
Image 357| Score: 0.4679 | Improved by Teacher| A group of people in ties are posing for a picture.
Image 358| Score: 0.8455 | Kept from Student| a tall red bus is coming down some tracks
Image 359| Score: 0.7239 | Kept from Student| two men standing in some sand walking up a hill
Image 360| Score: -0.8075 | Improved by Teacher| A calf laying in an open field licking its nose.
Image 361| Score: 0.8701 | Kept from Student| A woman holds a dog on her lap. 
Image 362| Score: 0.0744 | Improved by Teacher| a black and white dog sitting on a red couch with pillows
Image 363| Score: -0.4706 | Improved by Teacher| A car modified to be a boat on the water.
Image 364| Score: 0.1336 | Improved by Teacher| A ten filled with a creepy punk rocker snowman smothered in purple lights.
Image 365| Score: -0.6721 | Improved by Teacher| Various street signs in French outside of a building.
Image 366| Score: 1.8650 | Kept from Student| A group of hikers watching a plane over a body of water.
Image 367| Score: -1.5368 | Improved by Teacher| a small child watching an elephant behind a fence
Image 368| Score: 1.3551 | Kept from Student| This is a painting of a cross country skier traveling up a slope at sunrise.
Image 369| Score: 0.6086 | Improved by Teacher| The man is in his refrigerator looking for something to eat or drink
Image 370| Score: -0.0827 | Improved by Teacher| A stoplight showing a green light in a city.
Image 371| Score: 0.8787 | Kept from Student| A white plate topped with a pizza covered in toppings.
Image 372| Score: -0.6802 | Improved by Teacher| a kid holding a cell phone on her ears
Image 373| Score: 0.2236 | Improved by Teacher| Three cats that are sleeping on a bed.
Image 374| Score: 0.7323 | Kept from Student| People sitting on small boats in the creek. 
Image 375| Score: -0.3069 | Improved by Teacher| There s a van with grafting on thevoutsidevif the van
Image 376| Score: 1.8550 | Kept from Student| A small vase with a few flowers is in the snow.
Image 377| Score: -0.2147 | Improved by Teacher| A lovely appointed kitchen area with oval shaped island
Image 378| Score: 0.0709 | Improved by Teacher| Black box or case on a bench in a public area.
Image 379| Score: 1.2884 | Kept from Student| A polar bear is under water next to a rock wall.
Image 380| Score: 1.5589 | Kept from Student| A bus is parked on a wet street
Image 381| Score: 0.4212 | Improved by Teacher| A giraffe is standing next to a chain link fence.
Image 382| Score: -0.5872 | Improved by Teacher| A corner of a rest room with a cookie and coffee.
Image 383| Score: 0.3089 | Improved by Teacher| A sandwich that is sitting on a plate on a table.
Image 384| Score: 0.5321 | Improved by Teacher| A red rose sitting on a vase filled with water.
Image 385| Score: -0.2061 | Improved by Teacher| A plate with two slices of pizza on a table with another plate and glass.
Image 386| Score: 0.6810 | Kept from Student| This is a baseball player trying to hit a ball
Image 387| Score: -0.8302 | Improved by Teacher| a train traveling on an elevated train track.
Image 388| Score: -0.8797 | Improved by Teacher| A woman wearing a seat belt with her hair up in the air.
Image 389| Score: 0.1556 | Improved by Teacher| some bananas that are growing but still too ripe to harvest
Image 390| Score: -0.7235 | Improved by Teacher| A person and a elephant by some trees.
Image 391| Score: 1.7603 | Kept from Student| People all riding there bikes at night time .
Image 392| Score: -0.6055 | Improved by Teacher| a man catching a frisbee in a field.
Image 393| Score: 0.8661 | Kept from Student| A man skiing in the snow with large pine trees.
Image 394| Score: -0.1498 | Improved by Teacher| A picture of something and it appears like food.
Image 395| Score: 1.8301 | Kept from Student| A man in white shirt doing a trick on a skateboard.
Image 396| Score: -0.3250 | Improved by Teacher| a man on skies is coming down a snowy slope
Image 397| Score: 0.8828 | Kept from Student| a cup containing scissors, a pen, and a few eyeliner pencils
Image 398| Score: 1.5736 | Kept from Student| Several young children flying a kite in a field.
Image 399| Score: 1.5149 | Kept from Student| An oriental style room with tatami floor coverings.
Image 400| Score: -0.7607 | Improved by Teacher| The driver holds the small dog out the car window while taking a reflective photo in the side mirror.
Image 401| Score: 1.5419 | Kept from Student| A group of people sitting by blue building eating food.
Image 402| Score: 0.4479 | Improved by Teacher| A clean, white bathroom with a walk-in shower.
Image 403| Score: 0.7627 | Kept from Student| There are two fire trucks outside of a market
Image 404| Score: 1.1881 | Kept from Student| A young man, who is dressed formally, is posing for the camera. 
Image 405| Score: -0.1104 | Improved by Teacher| A bathroom is shown with a toilet, sink and bathtub.
Image 406| Score: 1.4823 | Kept from Student| Three horse running in the grass in a open area.
Image 407| Score: 1.6725 | Kept from Student| there is a sandwich that is cut in half in a bowl
Image 408| Score: -0.7325 | Improved by Teacher| A frontal image of a jet airplane on a runway.
Image 409| Score: 0.8295 | Kept from Student| A man and woman exchanging wedding vows outside.
Image 410| Score: 1.8298 | Kept from Student| A yellow fire hydrant sitting in the middle of a bed of rocks.
Image 411| Score: 0.6098 | Improved by Teacher| A young man surfs in a small blue wave.
Image 412| Score: 0.7287 | Kept from Student| A man is on the court holding his racket. 
Image 413| Score: 1.0341 | Kept from Student| A man stands next to a concrete wall.
Image 414| Score: 0.8410 | Kept from Student| A rusted up park bench sitting in the middle of a park.
Image 415| Score: 0.5070 | Improved by Teacher| A CAT SITTING ON A BOARD GAME THAT IS ON TOP OF A COFFEE TABLE
Image 416| Score: 1.1062 | Kept from Student| Broccoli is in a bowl with a fork. 
Image 417| Score: 1.6774 | Kept from Student| a big metal colander filled with navel oranges
Image 418| Score: 0.8967 | Kept from Student| A giraffe standing next to a lush green forest.
Image 419| Score: 0.7672 | Kept from Student| A bus with no roof has lots of seats in back.
Image 420| Score: 0.5912 | Improved by Teacher| A woman sits on the edge of a purple bed that has a black canopy.
Image 421| Score: -0.2709 | Improved by Teacher| A man has a dazed look while sitting on a toilet.
Image 422| Score: 0.0423 | Improved by Teacher| Someone jumping in the air on their snowboard.
Image 423| Score: 0.6740 | Kept from Student| Two giraffes standing in front of trees facing to the right.
Image 424| Score: -0.2771 | Improved by Teacher| a tennis court that has a man with a racket
Image 425| Score: -0.5895 | Improved by Teacher| A sea gull flying high in the sky on a clear day
Image 426| Score: -0.6451 | Improved by Teacher| Two bunches of green bananas on banana trees.
Image 427| Score: 0.4635 | Improved by Teacher| Table of food including carrots, peas, salad, corn, gravy, pies, bread
Image 428| Score: 0.2293 | Improved by Teacher| A very tasty looking pizza with some toppings.
Image 429| Score: 0.3193 | Improved by Teacher| a close up of a person operating a cell phone
Image 430| Score: 1.0317 | Kept from Student| A malnourished horse is fitted with a sack over its mouth seemingly depicting animal abuse.
Image 431| Score: 1.0110 | Kept from Student| a bunch of people at a table with food
Image 432| Score: 1.2590 | Kept from Student| this is a group of people standing near a river
Image 433| Score: 1.2702 | Kept from Student| A small box truck parked on a city street.
Image 434| Score: -0.6685 | Improved by Teacher| A open stove with some food on the inside.
Image 435| Score: 1.5324 | Kept from Student| A pair of scissors on top of a piece of paper on top of a rock.
Image 436| Score: 1.0048 | Kept from Student| A train moving along some train tracks next to a tree.
Image 437| Score: 0.8799 | Kept from Student| A dog, leaning against a laptop, looks gloomy. 
Image 438| Score: 0.4656 | Improved by Teacher| A thin crust pizza served on a plate.
Image 439| Score: 0.9009 | Kept from Student| A train traveling through a forest with tall trees.
Image 440| Score: 0.0005 | Improved by Teacher| a tennis player hitting a tennis ball on a court
Image 441| Score: 1.1379 | Kept from Student| a bunch of women serving hot dogs 
Image 442| Score: 1.9036 | Kept from Student| A woman with dark makeup on holding a sandwich.
Image 443| Score: 1.0656 | Kept from Student| People are standing on the baseball diamond in the grass and dirt.
Image 444| Score: -2.0768 | Improved by Teacher| A girl in bikini standing with surfboard on the beach.
Image 445| Score: -1.1197 | Improved by Teacher| A chair by a window in a living room
Image 446| Score: 1.0535 | Kept from Student| A city bus on the street in front of buildings.
Image 447| Score: 1.6548 | Kept from Student| A group of Navy men cutting a large sheet cake.
Image 448| Score: 1.3396 | Kept from Student| this tabby cat is loving the attention she is getting from this man
Image 449| Score: 1.3045 | Kept from Student| A brown stuffed teddy bear sitting on top of a couch.
